Table No. 4.7.1.2: List of events/programs organized.							
							
S.N.	Name of the Professional Societies/Bodies/Chapters/ Clubs		Name of the Event	National/ International level	Date of Event	Data to be filled by	
CAYm1 (2025-26)							
1	IEEE IIIT Delhi Student Branch		From Sand to Chip: The Journey of Semiconductor and Chip Manufacturing	National 	27-01-26	IEEE SB IIITD	https://www.instagram.com/p/DWbz_p0kthN/?img_index=1
2	IEEE IIIT Delhi Student Branch		IEEE Identity Quest 2026	National 	15-02-26	IEEE SB IIITD	https://drive.google.com/file/d/1NvIlow1u3nAsgUx-pUnky4zVRttB9czD/view?usp=sharing
3	IEEE IIIT Delhi Student Branch		Slash	National 	13-03-26	IEEE SB IIITD	https://unstop.com/events/ieee-slash-e-summit-2026-indraprastha-institute-of-information-technology-iiit-delhi-1656071
4	IEEE IIIT Delhi Student Branch		CTF With NodeZero	National 	25-01-26	IEEE SB IIITD	https://www.instagram.com/p/DUOMalqkrtv/?img_index=3
5	IEEE IIIT Delhi Student Branch		Indian Semiconductor Landscape & Packaging	National 	13-02-26	IEEE SB IIITD	https://www.instagram.com/p/DUprOxREiaY/
6	IEEE IIIT Delhi Student Branch		IEEE X E-CELL  WEB DEV WORKSHOP 	National 	13-08-25	IEEE SB IIITD	https://drive.google.com/file/d/1nba6vD8ictaH5AyU5TnSAbAOveDzWI4H/view?usp=sharing
7	IEEE IIIT Delhi Student Branch		Autorush	National 	08-08-25	IEEE SB IIITD	https://www.instagram.com/p/DPUTs8oEi6R/
8	IEEE IIIT Delhi Student Branch		Typothon	National 	08-08-25	IEEE SB IIITD	https://www.instagram.com/p/DPUUNnkEpvb/
9	IEEE IIIT Delhi Student Branch		BYOL	National 	07-08-25	IEEE SB IIITD	https://www.instagram.com/p/DPUScTTEpxA/
10	IEEE IIIT Delhi Student Branch		Inauguration session by Ramneek sir, IEEE delhi section 	National 	03-09-25	IEEE SB IIITD	https://www.instagram.com/p/DN-hyuFksDP/
CAYm1 (2024-25)							
1	IEEE IIIT Delhi Student Branch		IEEE: Induction Intro	National 	05-08-25	IEEE SB IIITD	https://www.instagram.com/p/DM3maq1Tefd/
2	IEEE IIIT Delhi Student Branch WIE		WIE : STEM workshp for school students 	National 	24-03-25	IEEE SB IIITD	https://www.instagram.com/p/DH3PQrqyPBt/?img_index=1
3	IEEE IIIT Delhi Student Branch		TechCrisis Challenge	National 	22-03-25	IEEE SB IIITD	https://www.instagram.com/p/DHLaL90yfYQ/
4	IEEE IIIT Delhi Student Branch		Hackathon: Infronix	National 	16-02-25	IEEE SB IIITD	https://www.instagram.com/p/DFzpPpNooIz/
5	IEEE IIIT Delhi Student Branch		Bachmanity Insanity 2.0	National 	23-01-25	IEEE SB IIITD	https://www.instagram.com/p/DFCahj2NWAM/
6	IEEE IIIT Delhi Student Branch		IEEE : Inaugration 2025	National 	05-11-24	IEEE SB IIITD	https://www.instagram.com/p/DB1Sgauysjz/
CAYm1 (2023-24)							
1	IEEE IIIT Delhi Student Branch		Puzzle Day	National 	21-03-23	IEEE SB IIITD	https://www.instagram.com/p/Cp7ThdVJKRm/
2	IEEE IIIT Delhi Student Branch		Enigma	National 	22-04-23	IEEE SB IIITD	https://www.instagram.com/p/CrQCtT3oSOY/
3	IEEE IIIT Delhi Student Branch		HuntIT	National 	24-08-23	IEEE SB IIITD	https://www.instagram.com/p/CvwsfxgJ2-D/?img_index=1
4	IEEE IIIT Delhi Student Branch		Hack:did	National 	01-07-23	IEEE SB IIITD	https://www.instagram.com/p/CuCs2rhJuNy/?img_index=1
5	IEEE IIIT Delhi Student Branch WIE		WIE Unlock Success Session	National 	11-07-23	IEEE SB IIITD	https://www.instagram.com/p/CuekUjPo96C/
6	IEEE IIIT Delhi Student Branch		Slash	National 	19-04-23	IEEE SB IIITD	https://www.instagram.com/p/CwO5KiUo5lj/?img_index=1
7	IEEE IIIT Delhi Student Branch		Quack	National 	25-08-23	IEEE SB IIITD	https://www.instagram.com/p/Cv5QYtjI90n/?img_index=1
8	IEEE IIIT Delhi Student Branch		XGrid	National 	25-08-23	IEEE SB IIITD	https://www.instagram.com/p/CwCyf-4oni_/?img_index=1
9	IEEE IIIT Delhi Student Branch		Machine Learning Battle	National 	14-10-23	IEEE SB IIITD	https://www.instagram.com/p/CyPytQyooHn/
10	IEEE IIIT Delhi Student Branch		Bachmanity Insanity	National 	14-10-23	IEEE SB IIITD	https://www.instagram.com/p/CyQMoc5p8fO/
